Feature ID	Taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
15888f5511479ebd54865c93dfff5be5	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina			
158a86f83278d41b188e06301bfe9e00	Unassigned								
1591c325db983ae641ec060fff6f7098	Fungi	Ascomycota	Dothideomycetes	Pleosporales					
159b07e50c12ddf224b58ec02e544148	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Nigrogranaceae	Nigrograna			
15a2000da784be700123b7a8a85c14b8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
15c439036639da311b95a020d2d8d426	Fungi	Ascomycota	Dothideomycetes						
15da9f7b5bc077bb48997b7df9f19ecb	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus			
15df0f55b9da0d9379334a1c0f97fb2b	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae				
15f139305b9648dc6018eb25aee40faf	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae				
160260832693b189ba2ea0b44db919db	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis				
160418584753b2aad523c1a8e9068489	Fungi	Ascomycota	Dothideomycetes						
16116b94309e0ea8b3b2ff7869f4381c	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
162841de38b19a1868cc1a2635b193c8	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma			
16507e25d999abc59217324eaa106635	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium			
1659518a9fd7e30bd59d62e167a73fde	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Veronaea			
1667883dbed20b56491e564f49e50f4d	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	Septobasidium			
16732f5cc7bec375e355ad2c58f81d2b	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium			
1673e8e660390cbd400bfd6219858b21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
